model_name,accuracy,precision,recall,f1_score,precision_E,recall_E,f1_score_E,precision_P,recall_P,f1_score_P,total_evaluated,correct_predictions,gt_english_pct,gt_pidgin_pct,model_english_pct,model_pidgin_pct
test_bilstm,0.78,0.77,0.77,0.77,0.78,0.84,0.81,0.76,0.7,0.73,52689,40904,0.57,0.43,0.61,0.39
test_ngram_1_logistic_regression,0.61,0.6,0.61,0.6,0.67,0.62,0.64,0.54,0.59,0.57,52689,32028,0.57,0.43,0.53,0.47
test_ngram_1_naive_bayes,0.6,0.59,0.59,0.59,0.65,0.63,0.64,0.53,0.56,0.55,52689,31487,0.57,0.43,0.55,0.45
test_ngram_1_random_forest,0.78,0.77,0.77,0.77,0.82,0.78,0.8,0.73,0.77,0.75,52689,40846,0.57,0.43,0.55,0.45
test_ngram_1_svm,0.43,0.22,0.5,0.3,0,0.0,0,0.43,1.0,0.6,52689,22718,0.57,0.43,0.0,1.0
test_ngram_2_logistic_regression,0.69,0.68,0.68,0.68,0.72,0.74,0.73,0.65,0.62,0.64,52689,36425,0.57,0.43,0.58,0.42
test_ngram_2_naive_bayes,0.68,0.67,0.67,0.67,0.71,0.74,0.72,0.64,0.59,0.61,52689,35728,0.57,0.43,0.6,0.4
test_ngram_2_random_forest,0.89,0.88,0.88,0.88,0.9,0.9,0.9,0.87,0.86,0.87,52689,46675,0.57,0.43,0.57,0.43
test_ngram_2_svm,0.43,0.22,0.5,0.3,0,0.0,0,0.43,1.0,0.6,52689,22718,0.57,0.43,0.0,1.0
test_ngram_3_logistic_regression,0.76,0.75,0.75,0.75,0.77,0.81,0.79,0.73,0.68,0.71,52689,39832,0.57,0.43,0.6,0.4
test_ngram_3_naive_bayes,0.74,0.73,0.73,0.73,0.75,0.81,0.78,0.72,0.65,0.68,52689,38901,0.57,0.43,0.61,0.39
test_ngram_3_random_forest,0.89,0.89,0.89,0.89,0.9,0.91,0.91,0.88,0.87,0.87,52689,46989,0.57,0.43,0.57,0.43
test_ngram_3_svm,0.43,0.57,0.5,0.3,0.71,0.0,0.0,0.43,1.0,0.6,52689,22727,0.57,0.43,0.0,1.0
test_ngram_4_logistic_regression,0.8,0.8,0.79,0.79,0.81,0.85,0.83,0.78,0.74,0.76,52689,42170,0.57,0.43,0.59,0.41
test_ngram_4_naive_bayes,0.78,0.78,0.77,0.77,0.79,0.84,0.81,0.77,0.7,0.73,52689,41020,0.57,0.43,0.6,0.4
test_ngram_4_random_forest,0.89,0.89,0.89,0.89,0.9,0.91,0.9,0.88,0.86,0.87,52689,46914,0.57,0.43,0.58,0.42
test_ngram_4_svm,0.43,0.22,0.5,0.3,0,0.0,0,0.43,1.0,0.6,52689,22718,0.57,0.43,0.0,1.0
test_ngram_5_logistic_regression,0.84,0.84,0.84,0.84,0.85,0.88,0.86,0.83,0.8,0.82,52689,44476,0.57,0.43,0.58,0.42
test_ngram_5_naive_bayes,0.82,0.82,0.81,0.81,0.82,0.87,0.85,0.82,0.75,0.78,52689,43188,0.57,0.43,0.6,0.4
test_ngram_5_random_forest,0.89,0.89,0.89,0.89,0.89,0.92,0.91,0.89,0.85,0.87,52689,46962,0.57,0.43,0.59,0.41
test_ngram_5_svm,0.43,0.22,0.5,0.3,0,0.0,0,0.43,1.0,0.6,52689,22718,0.57,0.43,0.0,1.0
test_ngram_6_logistic_regression,0.87,0.87,0.87,0.87,0.88,0.9,0.89,0.86,0.84,0.85,52689,46079,0.57,0.43,0.58,0.42
test_ngram_6_naive_bayes,0.85,0.85,0.85,0.85,0.85,0.9,0.88,0.86,0.8,0.82,52689,45005,0.57,0.43,0.6,0.4
test_ngram_6_random_forest,0.89,0.89,0.88,0.88,0.88,0.93,0.9,0.9,0.83,0.86,52689,46728,0.57,0.43,0.6,0.4
